,Unnamed: 0,Unnamed: 0.1,品番,日付,日量数,当月必要数,当月稼働日数,仕入先名/工場名,箱種類,収容数,基準在庫日数,基準在庫枚数,A,B,C,日量数（箱）,日量数（箱）_切り上げ,平均日量数（箱）,検収数,入庫数（箱）,出庫数（箱）,在庫数（箱）,不等ピッチ係数日,設計値MIN,設計値MAX,入庫数（箱）＞検収数,入庫数（箱）＞日量数（箱）,入庫数（箱）＜検収数,入庫数（箱）＜日量数（箱）
60,60,60,9036659A009,4,946.0,18814,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,36,0.59,1,1,1,1.9,26.277777777777786,27,24.886243386243386,25,25.0,14.0,38.0,0.0,7.217010582010581,32.10325396825397,0,0,0,0
61,61,61,9036659A010,4,946.0,18814,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,36,0.59,1,1,1,1.9,26.277777777777786,27,24.886243386243386,25,25.0,14.0,39.0,0.0,7.217010582010581,32.10325396825397,0,0,0,0
62,62,62,35352ECB010,4,411.0,8236,21.0,五興商事（株）,TP-331 ﾊﾝﾖｳ,504,0.64,1,1,1,1.97,0.8154761904761905,1,0.7781557067271353,1,0.0,0.0,2.0,0.0,0.2311122448979592,1.0092679516250944,0,0,1,1
63,63,63,G9201ECB030,4,411.0,8235,21.0,佐藤工業（株）,ｻﾝﾎﾞｯｸｽ#20B,8,0.78,2,1,2,5.82,51.375,52,49.01785714285714,78,35.0,28.0,9.0,0.05,16.715089285714285,43.67491071428571,0,0,1,0
64,64,64,G9201ECE010,4,535.0,10577,21.0,佐藤工業（株）,ｻﾝﾎﾞｯｸｽ#20B,8,0.86,2,1,2,5.82,66.875,67,62.95833333333334,104,35.0,37.0,23.0,0.05,21.46879166666667,56.09587500000002,0,0,1,1
65,65,65,35198ECE010,4,535.0,10578,21.0,サトープレス工業（株）,AW-331 ｾﾝﾖｳ,200,0.58,1,1,1,1.78,2.675,3,2.5185714285714287,3,3.0,1.0,8.0,0.0,0.7001628571428573,3.218734285714286,0,0,0,0
66,66,66,3548255A010,4,535.0,10578,21.0,サトープレス工業（株）,AW-131 ｾﾝﾖｳ,300,0.57,1,1,1,1.78,1.7833333333333334,2,1.6790476190476191,2,2.0,1.0,8.0,0.0,0.4667752380952382,2.145822857142857,0,0,0,0
67,67,67,35595ECB010,4,411.0,8236,21.0,サトープレス工業（株）,TP-131 ｾﾝﾖｳ,40,0.57,1,1,1,1.78,10.275,11,9.804761904761904,10,10.0,6.0,16.0,0.0,2.7257238095238097,12.530485714285714,0,0,0,0
68,68,68,5040056001E,4,2055.0,41180,21.0,サトープレス工業（株）,AW-131 ｾﾝﾖｳ,300,0.58,3,1,1,1.78,6.85,7,6.536507936507936,4,4.0,4.0,5.0,0.0,1.8171492063492063,8.353657142857143,0,0,0,1
69,69,69,9033904A002,4,946.0,18814,21.0,サトープレス工業（株）,AW-131 ｾﾝﾖｳ,1000,0.61,1,1,1,1.78,0.946,1,0.8959047619047621,1,1.0,0.0,3.0,0.0,0.2490615238095239,1.1449662857142857,0,0,0,0
70,70,70,35145ECB010,4,411.0,8236,21.0,三共鋼業（株）,AW-131 ｾﾝﾖｳ,100,0.62,3,1,1,1.74,4.11,5,3.921904761904762,4,4.0,2.0,9.0,0.0,1.0746019047619049,4.996506666666667,0,0,0,0
71,71,71,35145ECE010,4,535.0,10578,21.0,三共鋼業（株）,AW-131 ｾﾝﾖｳ,100,0.65,1,1,1,1.74,5.35,6,5.0371428571428565,6,6.0,2.0,11.0,0.0,1.3801771428571428,6.417319999999999,0,0,0,0
72,72,72,35195ECE010,4,1070.0,21156,21.0,三共鋼業（株）,TP-131 ﾊﾝﾖｳ,400,0.62,3,1,1,1.74,2.675,3,2.5185714285714287,3,3.0,2.0,8.0,0.0,0.6900885714285715,3.20866,0,0,0,0
73,73,73,35195TFG010,4,1070.0,21156,21.0,三共鋼業（株）,TP-131 ﾊﾝﾖｳ,400,0.62,1,1,1,1.74,2.675,3,2.5185714285714287,3,3.0,2.0,7.0,0.0,0.6900885714285715,3.20866,0,0,0,0
74,74,74,35771ECB010,4,411.0,8236,21.0,アイシン機工（株）,TP-341 ﾊﾝﾖｳ,4,0.79,3,1,6,4.92,102.75,103,98.04761904761904,65,46.0,56.0,29.0,0.12,9.674031746031744,37.78101587301587,0,0,0,1
75,75,75,35771ECE010,4,535.0,10578,21.0,アイシン機工（株）,TP-341 ﾊﾝﾖｳ,6,0.79,2,1,6,4.92,89.16666666666669,90,83.95238095238095,57,44.0,47.0,56.0,0.12,8.283301587301588,32.349650793650795,0,0,0,1
