,KOTEI_ID,WORK_ID,JISEKI_DT,JISEKI_DT2,TYOKU
762,02,04,2023-12-05 21:16:56.527,2023-12-05 21:50:26.337,0
766,02,05,2023-12-06 01:57:49.500,2023-12-06 02:39:41.793,0
768,02,06,2023-12-06 05:06:10.690,2023-12-06 05:48:07.990,0
770,02,01,2023-12-06 09:13:56.627,2023-12-06 09:49:47.810,0
772,02,02,2023-12-06 13:45:01.267,2023-12-06 14:28:46.277,0
776,02,03,2023-12-06 17:05:19.877,2023-12-06 17:42:50.813,0
778,02,01,2023-12-06 18:09:08.110,2023-12-06 18:10:10.637,0
781,02,04,2023-12-06 21:15:17.693,2023-12-06 21:49:08.613,0
786,02,05,2023-12-07 01:55:47.910,2023-12-07 02:38:34.723,0
788,02,06,2023-12-07 05:05:06.630,2023-12-07 05:49:20.063,0
790,02,01,2023-12-07 09:14:49.880,2023-12-07 09:46:49.737,0
792,02,02,2023-12-07 13:47:35.873,2023-12-07 14:25:29.967,0
796,02,03,2023-12-07 17:06:39.727,2023-12-07 17:39:21.413,0
800,02,04,2023-12-07 21:19:16.123,2023-12-07 21:49:39.777,0
805,02,05,2023-12-08 01:53:57.047,2023-12-08 02:33:13.207,0
807,02,06,2023-12-08 05:05:01.897,2023-12-08 05:50:54.270,0
809,02,01,2023-12-08 09:13:44.890,2023-12-08 09:49:07.647,0
811,02,02,2023-12-08 13:46:34.913,2023-12-08 14:27:11.277,0
815,02,03,2023-12-08 17:07:02.390,2023-12-08 17:45:00.920,0
819,02,04,2023-12-08 21:17:35.177,2023-12-08 21:49:20.493,0
824,02,05,2023-12-09 02:03:01.593,2023-12-09 02:40:34.013,0
826,02,06,2023-12-09 05:49:37.077,2023-12-09 05:49:47.777,0
829,02,01,2023-12-11 09:16:02.910,2023-12-11 09:51:54.000,0
831,02,02,2023-12-11 13:49:39.270,2023-12-11 14:38:13.687,0
835,02,03,2023-12-11 17:08:36.880,2023-12-11 17:46:24.453,0
838,02,04,2023-12-11 21:25:10.953,2023-12-12 01:49:54.847,0
842,02,05,2023-12-12 01:50:01.850,2023-12-12 02:24:36.517,0
844,02,06,2023-12-12 05:07:25.810,2023-12-12 05:42:52.743,0
847,02,01,2023-12-12 09:15:08.320,2023-12-12 09:51:12.703,0
849,02,02,2023-12-12 13:50:36.107,2023-12-12 14:38:12.037,0
853,02,03,2023-12-12 17:50:01.300,2023-12-12 17:50:26.217,0
855,02,04,2023-12-12 21:15:41.443,2023-12-12 21:42:13.877,0
860,02,05,2023-12-13 01:44:29.637,2023-12-13 02:26:49.427,0
862,02,06,2023-12-13 05:04:45.003,2023-12-13 05:41:24.047,0
865,02,01,2023-12-13 09:18:45.733,2023-12-13 09:51:13.910,0
867,02,02,2023-12-13 13:49:26.647,2023-12-13 14:38:19.930,0
871,02,03,2023-12-13 17:49:08.270,2023-12-13 17:49:44.723,0
874,02,04,2023-12-13 21:22:30.143,2023-12-13 21:24:25.140,0
875,02,04,2023-12-13 21:23:55.453,2023-12-13 21:24:43.487,0
879,02,05,2023-12-14 01:48:52.960,2023-12-14 02:29:48.517,0
881,02,06,2023-12-14 05:05:52.970,2023-12-14 05:42:25.650,0
884,02,01,2023-12-14 09:17:22.027,2023-12-14 09:50:44.610,0
886,02,02,2023-12-14 13:50:58.267,2023-12-14 14:35:18.350,0
890,02,03,2023-12-14 17:06:49.840,2023-12-14 17:51:12.537,0
893,02,04,2023-12-14 21:22:48.030,2023-12-15 01:47:56.807,0
