,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,OPERATION_RATE,KAKO_CNT,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からのかんばん増加率,使用工程
366,82821ECB040    ,2023,38,4.0,0.0,0.0,0.83,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,100,1.0,2.0,3.78,石黒ゴム工業（株）,19,2.4096385542168677,4.561211457763181,0.29,0.6023904547984739,97.085,450.0,0.0,0.13960113960113962,-0.050000000000000044,8.ファイナル後半
509,82821ECB040    ,2023,39,5.0,0.0,0.0,0.83,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,100,1.5,1.8399999999999996,3.87,石黒ゴム工業（株）,14,2.2168674698795177,5.568920965873652,0.29,0.6495682154019367,99.44999999999999,464.0,0.25,-0.08000000000000018,-0.26315789473684215,8.ファイナル後半
213,82821ECB050    ,2023,37,17.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,100,1.0,2.59,8.77,石黒ゴム工業（株）,47,3.1204819277108435,8.35528643887862,0.29,1.2899518539771198,93.505,462.0,-0.10526315789473684,-0.12941176470588234,0.11904761904761907,8.ファイナル後半
367,82821ECB050    ,2023,38,18.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,100,2.0,3.44,8.77,石黒ゴム工業（株）,45,4.144578313253012,8.846773876459716,0.29,1.3167256312981481,97.085,450.0,0.05882352941176472,0.3281853281853282,-0.04255319148936165,8.ファイナル後半
510,82821ECB050    ,2023,39,19.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,100,1.0,2.8000000000000003,8.22,石黒ゴム工業（株）,25,3.373493975903615,9.963084151354979,0.29,1.311784701155755,99.44999999999999,464.0,0.05555555555555558,-0.18604651162790686,-0.4444444444444444,8.ファイナル後半
214,82821ECE010    ,2023,37,33.0,0.0,0.0,1.07,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,50,1.0,5.76,9.98,石黒ゴム工業（株）,51,5.383177570093458,14.252643217469418,0.29,1.6715933742941034,93.505,462.0,-0.02941176470588236,0.032258064516129004,0.04081632653061229,8.ファイナル後半
368,82821ECE010    ,2023,38,32.0,0.0,0.0,1.07,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,50,2.0,5.6,9.86,石黒ゴム工業（株）,51,5.233644859813084,13.988948730502901,0.29,1.648469220903974,97.085,450.0,-0.030303030303030276,-0.02777777777777779,0.0,8.ファイナル後半
511,82821ECE010    ,2023,39,33.0,0.0,0.0,1.07,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,50,1.0,3.7600000000000002,9.36,石黒ゴム工業（株）,15,3.514018691588785,15.19672855879752,0.29,1.622041793510686,99.44999999999999,464.0,0.03125,-0.3285714285714285,-0.7058823529411764,8.ファイナル後半
215,82821XAE010    ,2023,37,20.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,100,1.0,2.8900000000000006,8.77,石黒ゴム工業（株）,47,3.3218390804597706,9.829748751621906,0.29,1.3648850394207828,93.505,462.0,-0.04761904761904767,-0.19498607242339816,0.04444444444444451,8.ファイナル後半
369,82821XAE010    ,2023,38,20.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,100,2.0,3.51,8.77,石黒ゴム工業（株）,43,4.0344827586206895,9.829748751621906,0.29,1.3648850394207828,97.085,450.0,0.0,0.21453287197231807,-0.08510638297872342,8.ファイナル後半
