,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,設計値MIN,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数
396,35557ECB010    ,2023,51,8.0,36.0,34.0,小川工業（株）,7.478260869565218,0.32,4.53,4.75,5.69,6.04,0.93,1.0635074735161805,1.0,小川工業（株）,1.0,2.0,4.94,46,34,37.23913043478261,4.21,0.21999999999999972,0.9399999999999996,0.3500000000000005,1.5099999999999998,0.05,1.6236559139784943,1.4198301728972536,2.22104347826087,3.6019105786547643,1.26300760550232,100.0,371.5
397,35580ECB011    ,2023,51,78.5,252.0,254.0,アイシン精機（株）,57.33333333333334,0.2,1.18,1.71,4.93,5.17,0.9,0.9522420548541576,3.0,アイシン精機（株）,1.0,4.0,8.04,6,261,285.5,0.98,0.53,3.22,0.2400000000000002,3.99,0.14,4.433333333333334,4.1901110958716234,12.957333333333334,6.058345338547026,2.6030152975506233,100.0,371.5
398,35595ECB010    ,2023,51,10.0,45.0,38.0,サトープレス工業（株）,8.6,0.11,1.94,2.21,4.82,5.03,0.61,0.7260934552314613,1.0,サトープレス工業（株）,1.0,1.0,1.78,40,43,42.825,1.83,0.27,2.6100000000000003,0.21,3.0900000000000003,0.0,5.065573770491804,4.255650533325607,2.3908,4.1827003513468295,0.8755954048753152,100.0,371.5
399,3559850A010    ,2023,51,4.0,18.0,15.0,アイコー（株）,3.44,0.14,2.36,2.65,5.49,6.1,0.94,1.2302336380786532,1.0,アイコー（株）,1.0,2.0,3.92,100,17,17.130000000000006,2.22,0.29000000000000004,2.8400000000000003,0.6099999999999994,3.74,0.32,3.9787234042553186,3.0400729456894338,0.8462400000000001,4.7267914539610505,1.4607923337618325,100.0,371.5
400,35771ECB010    ,2023,51,30.0,415.0,385.0,アイシン機工（株）,86.0,0.39,1.18,1.44,1.93,2.165,0.79,0.8248280365694385,3.0,アイシン機工（株）,1.0,6.0,4.92,4,412,428.25,0.7899999999999999,0.26,0.49,0.2350000000000001,0.985,0.07,1.2468354430379749,1.1941883111742135,8.485333333333335,3.5355122564424883,1.106249078125768,100.0,371.5
401,35771ECE010    ,2023,51,51.5,327.0,302.0,アイシン機工（株）,67.0,0.39,1.19,1.45,3.76,4.03,0.79,0.8195602906761917,2.0,アイシン機工（株）,1.0,6.0,4.92,6,326,338.16666666666663,0.7999999999999999,0.26,2.31,0.2700000000000005,2.8400000000000003,0.07,3.59493670886076,3.4652728204496235,6.610666666666668,7.790439693424767,2.4376005806064813,100.0,371.5
402,35847ECB010    ,2023,51,6.0,27.0,23.0,（株）メタルテック,4.3,0.09,4.01,4.12,5.08,5.94,0.55,0.7821869104629227,1.0,（株）メタルテック,1.0,1.0,1.9,80,21,21.4125,3.92,0.11000000000000032,0.96,0.8600000000000003,1.9300000000000008,0.0,3.5090909090909097,2.4674409328299376,1.247,4.811547714514836,1.0413051023950015,100.0,371.5
403,35847ECB020    ,2023,51,6.0,25.0,21.0,（株）メタルテック,4.914285714285715,0.09,4.01,4.11,5.15,5.45,0.5,0.7031635466550573,1.0,（株）メタルテック,1.0,1.0,1.9,70,23,24.47142857142857,3.92,0.10000000000000052,1.04,0.2999999999999998,1.4400000000000004,0.0,2.8800000000000012,2.0478877308843257,1.4251428571428573,4.210104250200481,0.9111419645956264,100.0,371.5
404,35847ECE010    ,2023,51,19.0,52.0,45.0,（株）メタルテック,10.05,0.09,4.01,4.115,6.105,6.32,0.5,0.5985343022539722,1.0,（株）メタルテック,1.0,1.0,1.9,40,50,50.725,3.92,0.10500000000000044,1.99,0.21499999999999986,2.3100000000000005,0.0,4.620000000000001,3.8594279246836094,2.9145000000000003,6.5191284954537645,1.4108561669265611,100.0,371.5
405,35847ECE020    ,2023,51,14.0,35.0,30.0,（株）メタルテック,6.7,0.09,4.01,4.12,5.34,5.9,0.53,0.6778014533809582,1.0,（株）メタルテック,1.0,1.0,1.9,60,31,33.81666666666667,3.92,0.11000000000000032,1.2199999999999998,0.5600000000000005,1.8900000000000008,0.0,3.5660377358490574,2.7884271870065263,1.943,7.205352547606792,1.5593673423925147,100.0,371.5
406,35882ECB010    ,2023,51,8.0,40.0,35.0,（株）メタルテック,6.88,0.09,4.01,4.12,5.08,5.43,0.54,0.6851168190393266,1.0,（株）メタルテック,1.0,1.0,1.9,50,33,34.260000000000005,3.92,0.11000000000000032,0.96,0.34999999999999964,1.42,0.0,2.6296296296296293,2.0726392354388983,1.9952,4.0096230954290295,0.8677542519958349,100.0,371.5
407,36108ECB010    ,2023,51,3.0,12.0,10.0,（株）オーハシテクニカ,2.293333333333333,0.74,2.955,3.285,4.79,5.775,0.64,1.07535045711798,1.0,（株）オーハシテクニカ,1.0,1.0,1.97,150,10,11.42,2.215,0.3300000000000001,1.505,0.9850000000000004,2.8200000000000003,0.0,4.40625,2.622400893898173,0.68112,4.404510218463707,0.9711503599730671,100.0,371.5
408,39171ECB010    ,2023,51,13.0,101.0,95.0,（株）アイシン福井,21.5,0.27,1.03,1.04,1.94,2.18,0.62,0.7593121462777536,3.0,（株）アイシン福井,1.0,24.0,19.68,16,103,107.0625,0.76,0.010000000000000007,0.8999999999999999,0.2400000000000002,1.15,,1.8548387096774197,1.5145286502230328,1.8525833333333332,7.017228194863027,3.4001002593666225,100.0,371.5
