,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,設計値MIN,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX
47,35141ECE010    ,2023,48,30.0,28.0,30.0,（株）アイシン福井,20.55,0.26,0.975,1.0350000000000001,4.605,4.775,0.63,0.7778014533809583,3.0,（株）アイシン福井,1.0,24.0,19.68,20,20,20.55,0.715,0.060000000000000164,3.5700000000000003,0.16999999999999993,3.8000000000000003,,6.0317460317460325,4.885565568799218,1.7707249999999999,16.942212935379576,8.209113484152992
48,35141ECE010    ,2023,49,29.0,104.0,106.0,（株）アイシン福井,21.0,0.27,1.04,1.18,3.3049999999999997,4.16,0.63,0.7778014533809583,3.0,（株）アイシン福井,1.0,24.0,19.68,20,94,104.8,0.77,0.1399999999999999,2.125,0.8550000000000004,3.12,,4.9523809523809526,4.011306467014095,1.8094999999999999,16.026526664824537,7.765430445842817
49,35141ECE010    ,2023,50,23.0,80.0,90.0,（株）アイシン福井,19.55,0.21,1.01,0.98,2.27,2.54,0.63,0.7778014533809583,3.0,（株）アイシン福井,1.0,24.0,19.68,20,81,98.05000000000001,0.8,-0.030000000000000027,1.29,0.27,1.53,,2.4285714285714284,1.9670829790165274,1.6845583333333334,13.653430424394129,6.615579690170351
50,35141ECE010    ,2023,51,23.0,92.0,91.0,（株）アイシン福井,20.1,0.27,1.06,1.06,3.935,4.09,0.63,0.7778014533809583,3.0,（株）アイシン福井,1.0,24.0,19.68,20,98,101.45,0.79,0.0,2.875,0.1549999999999998,3.03,,4.809523809523809,3.895595703542534,1.7319500000000003,13.279829094373392,6.4345563653149425
51,35145ECB010    ,2023,48,7.0,3.0,5.0,三共鋼業（株）,3.37,0.1,1.86,2.14,7.54,7.74,0.62,1.49070091423596,3.0,三共鋼業（株）,1.0,1.0,1.74,100,3,3.37,1.76,0.28,5.4,0.20000000000000018,5.88,0.0,9.483870967741936,3.944453205768456,0.9233800000000001,7.580844289458294,1.5688454194196169
52,35145ECB010    ,2023,49,7.0,15.0,16.0,三共鋼業（株）,3.25,0.11,1.87,1.96,6.199999999999999,6.595000000000001,0.62,1.49070091423596,3.0,三共鋼業（株）,1.0,1.0,1.74,100,12,13.06,1.76,0.08999999999999986,4.239999999999999,0.39500000000000135,4.7250000000000005,0.0,7.620967741935485,3.1696498974925094,0.8905000000000002,7.86075238629983,1.6267720195212643
53,35145ECB010    ,2023,50,6.0,18.0,17.0,三共鋼業（株）,3.56,0.1,1.86,2.23,5.3,5.65,0.62,1.49070091423596,3.0,三共鋼業（株）,1.0,1.0,1.74,100,18,17.77,1.76,0.3699999999999999,3.07,0.35000000000000053,3.79,0.0,6.112903225806452,2.542428171745314,0.9754400000000001,6.151070286229803,1.2729556332529957
54,35145ECB010    ,2023,51,8.0,18.0,15.0,三共鋼業（株）,3.44,0.1,1.87,1.99,5.28,5.64,0.62,1.49070091423596,3.0,三共鋼業（株）,1.0,1.0,1.74,100,15,17.130000000000003,1.77,0.11999999999999988,3.29,0.35999999999999943,3.7699999999999996,0.0,6.080645161290322,2.5290116642427,0.9425600000000002,8.487523340689185,1.7564814164266145
55,35145ECE010    ,2023,48,6.0,4.0,6.0,三共鋼業（株）,4.11,0.1,1.86,2.14,5.865,6.32,0.65,0.8963357556349304,1.0,三共鋼業（株）,1.0,1.0,1.74,100,4,4.11,1.76,0.28,3.725,0.45500000000000007,4.46,0.0,6.861538461538461,4.975813998227377,1.1261400000000001,5.327934359848686,1.1026087723553928
56,35145ECE010    ,2023,49,7.0,19.0,20.0,三共鋼業（株）,4.2,0.11,1.87,1.96,4.38,5.1850000000000005,0.65,0.8963357556349304,1.0,三共鋼業（株）,1.0,1.0,1.74,100,14,16.79,1.76,0.08999999999999986,2.42,0.8050000000000006,3.3150000000000004,0.0,5.1000000000000005,3.6983908977855955,1.1508,6.082725060827251,1.2588116817724067
