,品番,Year,Week_Number,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）
82,34989ECB010    ,2023,39,0.81,2.886740506329114,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,3.24,0.33999999999999986,3.8899999999999992,3.0,7.23,（株）槌屋,2,0.972
83,34989ECB020    ,2023,35,0.81,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.24,0.34999999999999964,5.120000000000001,0.7399999999999984,6.15,（株）槌屋,7,0.0
84,34989ECB020    ,2023,35,0.81,1.5010482670635763,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,4.22,0.395,1.02,0.605,2.25,（株）槌屋,4,1.76
85,34989ECB020    ,2023,36,0.81,1.5010482670635763,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.24,0.395,7.13,0.6350000000000007,8.08,（株）槌屋,10,9.453999999999999
86,34989ECB020    ,2023,37,0.81,1.5010482670635763,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.29,0.35999999999999943,5.9300000000000015,0.5099999999999998,6.8100000000000005,（株）槌屋,9,8.856
87,34989ECB020    ,2023,38,0.81,1.5010482670635763,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,3.225,0.33999999999999986,4.095000000000001,0.6499999999999995,6.74,（株）槌屋,10,8.649999999999999
88,34989ECB020    ,2023,39,0.81,1.5010482670635763,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.245,0.345,4.6850000000000005,0.6200000000000001,6.26,（株）槌屋,10,8.904
89,34989ECB030    ,2023,35,0.8,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,6.74,0.355,8.79,2.495000000000001,13.745000000000001,（株）槌屋,4,0.0
90,34989ECB030    ,2023,35,0.8,2.1820965341271528,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,2.24,0.3699999999999997,5.8100000000000005,0.7599999999999998,6.94,（株）槌屋,1,0.88
91,34989ECB030    ,2023,36,0.8,2.1820965341271528,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,2.24,0.3700000000000001,8.09,0.9200000000000008,9.38,（株）槌屋,5,3.7809999999999997
92,34989ECB030    ,2023,37,0.8,2.1820965341271528,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,3.2350000000000003,0.33499999999999996,7.8100000000000005,1.7999999999999998,9.99,（株）槌屋,4,3.4829999999999997
