,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,回収かんばん数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,使用工程
170,9036630A018    ,2023,38,19.0,112.0,103.0,（株）ジェイテクト,23.552631578947373,0.09,2.02,2.31,4.81,5.05,0.54,0.6664278584895198,3,TP341ﾌﾀﾅｼ,1,6,4.92,113,1.93,0.29000000000000004,2.5,0.2400000000000002,3.03,0.0,5.6111111111111125,4.5466286581530255,8.176053148120186,1.4308173466761682,97.085,450.0,1.デフ・大物ギヤ・Brg
171,9036652A003    ,2023,38,10.0,39.0,37.0,（株）ジェイテクト,8.516666666666667,0.09,2.02,2.48,5.305,5.745,0.81,1.1515883859948761,3,TP341ﾌﾀﾅｼ,1,6,4.92,40,1.93,0.46,2.825,0.4400000000000004,3.725,0.0,4.598765432098765,3.2346627017967986,11.900354366107788,0.7275038277849064,97.085,450.0,1.デフ・大物ギヤ・Brg
172,9036652A004    ,2023,38,9.0,38.0,36.0,（株）ジェイテクト,8.11111111111111,0.09,2.02,2.34,5.27,5.6,0.81,1.16866780529462,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,39,1.93,0.31999999999999984,2.93,0.3300000000000001,3.58,0.0,4.419753086419752,3.063317038238668,8.876712328767121,0.7957527554604549,97.085,450.0,1.デフ・大物ギヤ・Brg
173,9036658A001    ,2023,38,5.0,39.0,36.0,（株）ジェイテクト,8.533333333333333,0.09,2.02,2.32,4.68,5.1,0.81,1.1702401601067378,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,40,1.93,0.2999999999999998,2.36,0.4199999999999999,3.08,0.0,3.802469135802468,2.6319383875178857,4.6875,0.6898930665746811,97.085,450.0,1.デフ・大物ギヤ・Brg
174,9036658A002    ,2023,38,8.0,51.0,47.0,（株）ジェイテクト,10.666666666666666,0.09,2.02,2.445,4.675,5.1099999999999985,0.81,1.0981921280853904,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,52,1.93,0.4249999999999998,2.23,0.4349999999999996,3.0899999999999994,0.0,3.8148148148148135,2.813715306252619,6.0,0.8695652173913044,97.085,450.0,1.デフ・大物ギヤ・Brg
175,9036659A009    ,2023,38,22.0,117.0,109.0,（株）ジェイテクト,24.86111111111111,0.09,2.02,2.65,4.855,5.0950000000000015,0.81,0.929773760674282,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,120,1.93,0.6299999999999999,2.2050000000000005,0.2400000000000002,3.0750000000000006,0.0,3.7962962962962967,3.307256162800268,7.079329608938546,1.513310639224515,97.085,450.0,1.デフ・大物ギヤ・Brg
176,9036659A010    ,2023,38,22.0,116.0,109.0,（株）ジェイテクト,24.86111111111111,0.09,2.02,2.65,5.08,5.25,0.81,0.929773760674282,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,120,1.93,0.6299999999999999,2.43,0.16999999999999993,3.23,0.0,3.987654320987654,3.47396338401459,7.079329608938546,1.513310639224515,97.085,450.0,1.デフ・大物ギヤ・Brg
177,G1250ECB010    ,2023,38,4.0,19.0,18.0,（株）バルカー,3.9,0.37,5.04,5.36,6.5,7.0,1.14,2.023435582822086,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,19,4.67,0.3200000000000003,1.1399999999999997,0.5,1.96,0.24,1.7192982456140349,0.968649566430174,8.205128205128204,0.4266608319886224,97.085,450.0,2.MGケース
178,G1250ECC010    ,2023,38,3.0,12.0,11.0,（株）バルカー,2.45,0.235,5.04,5.385,6.885,7.6,1.14,2.1926315789473683,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,12,4.805,0.3449999999999997,1.5,0.7149999999999999,2.56,0.24,2.245614035087719,1.167546807489198,9.795918367346935,0.28487543966745155,97.085,450.0,2.MGケース
179,G1250ECE010    ,2023,38,13.0,39.0,37.0,（株）バルカー,8.241666666666667,0.37,5.045,5.385,6.43,6.8100000000000005,1.14,1.481588385994876,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,40,4.675,0.33999999999999986,1.045,0.3800000000000008,1.7650000000000006,0.24,1.5482456140350884,1.1912890359320791,12.61880687563195,0.8614230766847105,97.085,450.0,2.MGケース
