品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(木),2(金),3(土),4(日),5(月),6(火),7(水),8(木),9(金),10(土),11(日),12(月),13(火),14(水),15(木),16(金),17(土),18(日),19(月),20(火),21(水),22(木),23(金),24(土),25(日),26(月),27(火),28(水),29(木),30(金),,当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(木),2(金),3(土),4(日),5(月),6(火),7(水),8(木),9(金),10(土),11(日),12(月),13(火),14(水),15(木),16(金),17(土),18(日),19(月),20(火),21(水),22(木),23(金),24(土),25(日),26(月),27(火),28(水),29(木),30(金)
90331-06A003,9033106A003, B,"PLUG, TIGHT",使用中,かんばん,1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,"5,000",0.67,3,1,1,1.78,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
90339-04A002,9033904A002, A,CAP,使用中,かんばん,1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,"1,000",0.61,3,1,1,1.78,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
90339-04A003,9033904A003, A,CAP,使用中,かんばん,1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,"2,000",0.6,3,1,1,1.78,,,,,"18,510",22,"17,766",21,"14,798",18,"18,430",21,792,816,0,0,794,864,780,878,792,0,0,888,820,900,818,824,0,0,824,914,852,912,794,0,0,822,890,822,904,810,,"18,510","17,766","14,798","18,430",792,816,0,0,794,864,780,878,792,0,0,888,820,900,818,824,0,0,824,914,852,912,794,0,0,822,890,822,904,810
35145-ECB010,35145ECB010, A,"PLATE, OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,2036,三共鋼業（株）,1,東浦南工場,――,Ｍ,1,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,100,0.62,3,1,1,1.74,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
35145-ECE010,35145ECE010, A,"PLATE, OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,2036,三共鋼業（株）,1,東浦南工場,――,Ｍ,1,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,100,0.65,3,1,1,1.74,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
35195-ECE010,35195ECE010,,"CLAMP, TUBE",使用中,かんばん,1Y,第１工場,手配,Ｐ,2036,三共鋼業（株）,1,東浦南工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,400,0.62,3,1,1,1.74,,,,,"23,918",22,"24,070",21,"19,152",18,"21,982",21,"1,046","1,074",0,0,"1,044","1,192","1,060","1,180","1,044",0,0,"1,166","1,020","1,158","1,020","1,070",0,0,"1,016","1,144","1,040","1,142",964,0,0,"1,070","1,168","1,068","1,152","1,080",,"23,918","24,070","19,152","21,982","1,046","1,074",0,0,"1,044","1,192","1,060","1,180","1,044",0,0,"1,166","1,020","1,158","1,020","1,070",0,0,"1,016","1,144","1,040","1,142",964,0,0,"1,070","1,168","1,068","1,152","1,080"
35195-TFG010,35195TFG010, A,"CLAMP, TRANSAXLE APPLY TUBE, NO.1",使用中,かんばん,1Y,第１工場,手配,Ｐ,2036,三共鋼業（株）,1,東浦南工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,400,0.62,3,1,1,1.74,,,,,"23,918",22,"24,070",21,"19,152",18,"21,982",21,"1,046","1,074",0,0,"1,044","1,192","1,060","1,180","1,044",0,0,"1,166","1,020","1,158","1,020","1,070",0,0,"1,016","1,144","1,040","1,142",964,0,0,"1,070","1,168","1,068","1,152","1,080",,"23,918","24,070","19,152","21,982","1,046","1,074",0,0,"1,044","1,192","1,060","1,180","1,044",0,0,"1,166","1,020","1,158","1,020","1,070",0,0,"1,016","1,144","1,040","1,142",964,0,0,"1,070","1,168","1,068","1,152","1,080"
35771-ECB010,35771ECB010, C,"SHAFT, OUTPUT",使用中,かんばん,1Y,第１工場,手配,Ｐ,2038,アイシン機工（株）,6,吉良工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-341 ﾊﾝﾖｳ,4,0.7,3,1,6,4.92,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
35771-ECE010,35771ECE010, D,"SHAFT, OUTPUT",使用中,かんばん,1Y,第１工場,手配,Ｐ,2038,アイシン機工（株）,6,吉良工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-341 ﾊﾝﾖｳ,6,0.47,3,1,6,4.92,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
35141-ECB010,35141ECB010, D,"CASE, TRANSAXLE",使用中,かんばん,1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,Aﾊﾟﾚ ﾊﾝﾖｳ,16,0.62,3,1,24,19.68,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
35141-ECE010,35141ECE010, B,"CASE, TRANSAXLE",使用中,かんばん,1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,Aﾊﾟﾚ ﾊﾝﾖｳ,20,0.63,3,1,24,19.68,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
39171-ECB010,39171ECB010, B,"COVER, MOTOR HOUSING",使用中,かんばん,1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,Aﾊﾟﾚ ﾊﾝﾖｳ,16,0.62,3,1,24,19.68,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
39171-ECE010,39171ECE010, A,"COVER, MOTOR HOUSING",使用中,かんばん,1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,Aﾊﾟﾚ ﾊﾝﾖｳ,20,0.63,3,1,24,19.68,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
01912-ECB060,01912ECB060,,"CAP, SHIPPING",使用中,かんばん,1Y,第１工場,手配,Ｐ,2242,新光ゴム工業（株）,1,本社,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,400,0.78,3,1,1,3.25,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
2030 052 002N,2030052002N, A,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,300,0.5,3,1,2,1.06,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
90116-06048,9011606048, G,"BOLT, STUD",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"3,000",0.61,3,1,2,1.06,,,,,"18,544",22,"18,791",21,"14,993",18,"17,317",21,812,828,0,0,810,907,825,903,810,0,0,896,786,893,786,823,0,0,798,898,812,896,754,0,0,830,909,834,894,840,,"18,544","18,791","14,993","17,317",812,828,0,0,810,907,825,903,810,0,0,896,786,893,786,823,0,0,798,898,812,896,754,0,0,830,909,834,894,840
90341-08A006,9034108A006,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.53,3,1,2,1.06,,,,,"94,111",22,"92,555",21,"75,299",18,"90,039",21,"4,072","4,188",0,0,"4,073","4,544","4,070","4,555","4,068",0,0,"4,552","4,090","4,566","4,085","4,200",0,0,"4,092","4,573","4,210","4,564","3,913",0,0,"4,195","4,561","4,191","4,564","4,185",,"94,111","92,555","75,299","90,039","4,072","4,188",0,0,"4,073","4,544","4,070","4,555","4,068",0,0,"4,552","4,090","4,566","4,085","4,200",0,0,"4,092","4,573","4,210","4,564","3,913",0,0,"4,195","4,561","4,191","4,564","4,185"
90341-08A010,9034108A010,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.47,3,1,2,1.06,,,,,"18,510",22,"17,766",21,"14,798",18,"18,430",21,792,816,0,0,794,864,780,878,792,0,0,888,820,900,818,824,0,0,824,914,852,912,794,0,0,822,890,822,904,810,,"18,510","17,766","14,798","18,430",792,816,0,0,794,864,780,878,792,0,0,888,820,900,818,824,0,0,824,914,852,912,794,0,0,822,890,822,904,810
90341-18090,9034118090,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,300,0.54,3,1,2,1.06,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
35598-50A010,3559850A010, A,"PIN SUB-ASSY, PARKING LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,2411,アイコー（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,100,0.9,3,1,2,3.92,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
90341-18060,9034118060, C,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2502,住友商事（株）鉄鋼部輸送機材,1,鉄鋼部輸送機材,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,300,0.74,3,1,1,3,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
G1174-ECB010,G1174ECB010, A,"WIRE, MOTOR REVOLUTION SENSOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,2506,住友電装（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-362 ﾊﾝﾖｳ,50,0.85,3,1,1,2.28,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
G1174-ECE010,G1174ECE010, A,"WIRE, MOTOR REVOLUTION SENSOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,2506,住友電装（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-362 ﾊﾝﾖｳ,50,0.87,3,1,1,2.28,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
82824-ECE010,82824ECE010,,"CONNECTOR, WIRING HARNESS",使用中,かんばん,1Y,第１工場,手配,Ｐ,2506,住友電装（株）,4,四日市物流センター,――,Ｍ,1,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,45,0.36,3,1,1,3.25,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
G1144-ECB010,G1144ECB010, A,"TERMINAL, MOTOR CABLE",使用中,かんばん,1Y,第１工場,手配,Ｐ,2508,住友電気工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,6,0.63,3,1,1,2.28,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
G1173-62010,G117362010,,"SENSOR, MOTOR REVOLUTION",使用中,かんばん,1Y,第１工場,手配,Ｐ,3102,多摩川精機販売（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331-5 ﾊﾝﾖｳ,18,0.85,3,1,1,3.05,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
Y0217-82011,Y021782011,,"CAP, SHIPPING",使用中,かんばん,1Y,第１工場,手配,Ｐ,3227,（株）チューゲン,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,400,0.54,3,1,1,2.19,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
35195-10A010,3519510A010, A,"CLAMP, TRANSAXLE APPLY TUBE, NO.1",使用中,かんばん,1Y,第１工場,手配,Ｐ,3236,中庸スプリング（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,600,0.63,3,1,2,2.34,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
35505-ECB010,35505ECB010,,"LEVER SUB-ASSY, PARKING LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,3236,中庸スプリング（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,24,0.81,3,1,2,2.34,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
90949-06A012,9094906A012,,"CLAMP, WIRING",使用中,かんばん,1Y,第１工場,手配,Ｐ,3236,中庸スプリング（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.59,3,1,2,2.34,,,,,"72,897",22,"71,637",21,"58,324",18,"69,833",21,"3,153","3,243",0,0,"3,154","3,516","3,150","3,526","3,150",0,0,"3,525","3,170","3,537","3,166","3,253",0,0,"3,172","3,544","3,264","3,537","3,034",0,0,"3,249","3,532","3,246","3,536","3,240",,"72,897","71,637","58,324","69,833","3,153","3,243",0,0,"3,154","3,516","3,150","3,526","3,150",0,0,"3,525","3,170","3,537","3,166","3,253",0,0,"3,172","3,544","3,264","3,537","3,034",0,0,"3,249","3,532","3,246","3,536","3,240"
34989-ECB010,34989ECB010,,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.81,3,1,1,2.33,,,,,"5,177",22,"4,794",21,"4,305",18,"5,704",21,222,234,0,0,229,252,222,259,228,0,0,240,224,240,223,219,0,0,232,258,240,258,223,0,0,228,246,231,247,222,,"5,177","4,794","4,305","5,704",222,234,0,0,229,252,222,259,228,0,0,240,224,240,223,219,0,0,232,258,240,258,223,0,0,228,246,231,247,222
34989-ECB020,34989ECB020, A,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.81,3,1,1,2.33,,,,,"21,212",22,"20,916",21,"16,973",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,946,0,0,919,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,212","20,916","16,973","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,946,0,0,919,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
34989-ECB030,34989ECB030, A,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,"1,000",0.8,3,1,1,2.33,,,,,"21,212",22,"20,916",21,"16,973",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,946,0,0,919,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,212","20,916","16,973","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,946,0,0,919,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
34989-ECC010,34989ECC010,,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.78,3,1,1,2.33,,,,,"4,077",22,"4,088",21,"3,093",18,"3,511",21,174,174,0,0,168,180,168,180,168,0,0,204,186,210,186,192,0,0,180,199,186,198,174,0,0,183,199,180,205,183,,"4,077","4,088","3,093","3,511",174,174,0,0,168,180,168,180,168,0,0,204,186,210,186,192,0,0,180,199,186,198,174,0,0,183,199,180,205,183
34989-ECE010,34989ECE010,,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.72,3,1,1,2.33,,,,,"4,068",22,"4,117",21,"3,097",18,"3,511",21,181,180,0,0,180,192,181,192,174,0,0,192,174,193,174,186,0,0,180,193,180,192,174,0,0,181,199,186,198,186,,"4,068","4,117","3,097","3,511",181,180,0,0,180,192,181,192,174,0,0,192,174,193,174,186,0,0,180,193,180,192,174,0,0,181,199,186,198,186
34989-ECE020,34989ECE020, A,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.82,3,1,1,2.33,,,,,"5,372",22,"5,274",21,"4,157",18,"4,665",21,234,246,0,0,234,285,235,277,234,0,0,270,234,265,234,247,0,0,216,246,228,246,210,0,0,240,259,234,258,240,,"5,372","5,274","4,157","4,665",234,246,0,0,234,285,235,277,234,0,0,270,234,265,234,247,0,0,216,246,228,246,210,0,0,240,259,234,258,240
34989-ECE030,34989ECE030,,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.8,3,1,1,2.33,,,,,"2,518",22,"2,643",21,"2,321",18,"2,815",21,108,111,0,0,108,119,114,121,114,0,0,121,102,121,102,102,0,0,111,133,112,133,98,0,0,114,126,114,120,114,,"2,518","2,643","2,321","2,815",108,111,0,0,108,119,114,121,114,0,0,121,102,121,102,102,0,0,111,133,112,133,98,0,0,114,126,114,120,114
90508-27A011,9050827A011,,"SPRING, TORSION",使用中,かんばん,1Y,第１工場,手配,Ｐ,3836,（株）東郷製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,200,0.78,3,1,8,11.12,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
90524-09A003,9052409A003,,"SPRING, RETAINER",使用中,かんばん,1Y,第１工場,手配,Ｐ,3836,（株）東郷製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.78,3,1,8,11.12,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
90331-14006,9033114006, A,"PLUG, TIGHT",使用中,かんばん,1Y,第１工場,手配,Ｐ,4125,ナミコー（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.94,3,1,1,3.25,,,,,"5,372",22,"5,274",21,"4,157",18,"4,665",21,234,246,0,0,234,285,235,277,234,0,0,270,234,265,234,247,0,0,216,246,228,246,210,0,0,240,259,234,258,240,,"5,372","5,274","4,157","4,665",234,246,0,0,234,285,235,277,234,0,0,270,234,265,234,247,0,0,216,246,228,246,210,0,0,240,259,234,258,240
2030 044 001J,2030044001J, E,"SEAL, TYPE T OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,4241,ＮＯＫ（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,400,0.54,3,1,2,3.52,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
