,“úŽž,‰×–ðŽžŠÔ_•Ö_01,‰×–ðŽžŠÔ_•Ö_02,‰×–ðŽžŠÔ_•Ö_03,‰×–ðŽžŠÔ_•Ö_04,‰×–ðŽžŠÔ_•Ö_05,‰×–ðŽžŠÔ_•Ö_06,‰×–ðŽžŠÔ_•Ö_0K,‰×–ðŽžŠÔ,‰×–ðŽžŠÔ(t-1),‰×–ðŽžŠÔ(t-2),‰×–ðŽžŠÔ(t-3),‰×–ðŽžŠÔ(t-4),‰×–ðŽžŠÔ(t-5),‰×–ðŽžŠÔ(t-6),‰×–ðŽžŠÔ(t-7)
99,2023-10-05 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.56105,0.0,0.0,0.0,18.27716666666667,0.0
100,2023-10-05 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.56105,0.0,0.0,0.0,18.27716666666667
101,2023-10-05 05:00:00,0.0,0.0,0.0,0.0,0.0,32.46438333333334,0.0,32.46438333333334,0.0,0.0,0.0,41.56105,0.0,0.0,0.0
102,2023-10-05 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.46438333333334,0.0,0.0,0.0,41.56105,0.0,0.0
103,2023-10-05 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.46438333333334,0.0,0.0,0.0,41.56105,0.0
104,2023-10-05 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.46438333333334,0.0,0.0,0.0,41.56105
105,2023-10-05 09:00:00,31.450400000000002,0.0,0.0,0.0,0.0,0.0,0.0,31.450400000000002,0.0,0.0,0.0,32.46438333333334,0.0,0.0,0.0
106,2023-10-05 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.450400000000002,0.0,0.0,0.0,32.46438333333334,0.0,0.0
107,2023-10-05 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.450400000000002,0.0,0.0,0.0,32.46438333333334,0.0
108,2023-10-05 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.450400000000002,0.0,0.0,0.0,32.46438333333334
